λ (nm),532nm,450nm
1200,0.000215,0.000264
1199.5,0.000261,0.000155
1199,0.000202,9.58E-05
1198.5,0.000421,0.000407
1198,0.000313,0.000256
1197.5,0.000226,9.99E-05
1197,0.000119,7.94E-05
1196.5,0.000121,6.8E-05
1196,0.000155,5.82E-05
1195.5,0.000238,0.00019
1195,0.000394,0.000276
1194.5,0.000359,0.000262
1194,0.000104,6.04E-05
1193.5,5.81E-05,7.32E-06
1193,3.24E-05,8.36E-06
1192.5,0.000124,9.55E-06
1192,0.000205,0.000103
1191.5,0.000115,0.000142
1191,0.000332,0.000197
1190.5,0.000338,0.00012
1190,0.000231,0.000172
1189.5,0.000192,0.000176
1189,0.00023,0.000269
1188.5,0.00028,0.000206
1188,0.000169,4.97E-06
1187.5,7.89E-05,3.35E-06
1187,4.35E-05,3.73E-06
1186.5,0.000167,4.16E-06
1186,0.000202,5.74E-05
1185.5,9.23E-05,3.31E-05
1185,8.55E-05,1.01E-05
1184.5,0.000123,6.62E-05
1184,0.00017,2.89E-05
1183.5,0.000121,2.72E-05
1183,0.00011,2.56E-05
1182.5,0.000109,4.51E-06
1182,9.57E-05,7.05E-06
1181.5,7.09E-05,1.1E-05
1181,0.000259,0.000154
1180.5,9.88E-05,5.58E-05
1180,0.00017,7.77E-05
1179.5,0.000169,3.01E-05
1179,5.84E-05,4.93E-05
1178.5,0.000193,8.08E-05
1178,0.000261,0.000121
1177.5,0.000353,0.000181
1177,0.000241,3.72E-05
1176.5,0.000108,4.83E-06
1176,4.83E-05,4.97E-06
1175.5,3.1E-05,5.11E-06
1175,8.32E-05,4.16E-05
1174.5,6.84E-05,3.47E-05
1174,3.48E-05,8.79E-05
1173.5,0.000216,6.62E-05
1173,0.000247,0.000112
1172.5,0.000171,3.89E-06
1172,3.3E-05,3.3E-05
1171.5,6.52E-06,5.19E-06
1171,9.77E-06,7.37E-06
1170.5,0.000166,1.05E-05
1170,0.000172,0.000134
1169.5,0.000213,9.06E-05
1169,7.83E-05,2.97E-05
1168.5,9.34E-05,9.73E-06
1168,6.03E-05,1.71E-05
1167.5,3.89E-05,3.02E-05
1167,7.62E-05,4.62E-05
1166.5,0.000125,7.07E-05
1166,4.4E-05,6.45E-05
1165.5,7.23E-05,5.99E-06
1165,0.000119,4.14E-06
1164.5,8.01E-05,7.81E-06
1164,5.4E-05,1.47E-05
1163.5,0.000121,2.97E-05
1163,0.000156,6E-05
1162.5,0.000118,0.000188
1162,5.23E-05,4.64E-05
1161.5,6.01E-05,7.68E-05
1161,3.24E-05,7.04E-06
1160.5,2.04E-05,5.19E-06
1160,1.28E-05,3.82E-06
1159.5,5.61E-05,2.26E-05
1159,6.99E-05,5.1E-05
1158.5,0.000102,7.56E-05
1158,1.02E-05,7.88E-06
1157.5,3.07E-05,7.43E-06
1157,2.09E-05,7.01E-06
1156.5,1.42E-05,5.98E-05
1156,0.000248,0.000142
1155.5,0.00012,0.000137
1155,0.000126,0.000134
1154.5,0.000127,1.13E-05
1154,4.61E-05,9.22E-06
1153.5,1.68E-05,7.54E-06
1153,5.12E-05,6E-05
1152.5,7.58E-05,4.92E-06
1152,0.000259,0.000239
1151.5,0.000251,0.000194
1151,0.000256,7.87E-05
1150.5,0.000161,7.36E-05
1150,7.07E-05,8.49E-06
1149.5,4.7E-05,9.69E-06
1149,0.000144,1.11E-05
1148.5,0.000228,0.000125
1148,0.000113,7.83E-05
1147.5,0.000129,2.06E-05
1147,0.000119,4E-06
1146.5,9.41E-05,6.81E-06
1146,0.000139,1.16E-05
1145.5,0.000206,0.000174
1145,0.000166,7.64E-05
1144.5,0.000113,0.000136
1144,8.54E-05,1.51E-05
1143.5,4.35E-05,1.8E-05
1143,9.09E-05,0.000279
1142.5,1.33E-05,1.25E-05
1142,1.91E-05,3.85E-05
1141.5,0.000383,0.000119
1141,0.000139,3.52E-06
1140.5,3.31E-05,3.2E-06
1140,2.33E-05,3.18E-06
1139.5,7.09E-05,3.17E-06
1139,2.15E-05,3.21E-06
1138.5,0.000157,0.000102
1138,0.000255,0.000295
1137.5,0.000184,0.000257
1137,0.000121,0.000119
