λ (nm),%T
1200,4.00714466431431E-06
1199,9.69485906311637E-06
1198,4.51191594150523E-06
1197,3.07801512803269E-06
1196,5.57443428391542E-06
1195,4.17030033873757E-06
1194,3.38956080101819E-06
1193,2.90151954251089E-06
1192,3.80076484112439E-06
1191,5.1910044359088E-06
1190,4.45984180926103E-06
1189,4.87204921493761E-06
1188,4.30567790541332E-06
1187,4.95661205242534E-06
1186,4.44808010697249E-06
1185,4.04610186586889E-06
1184,3.72169286121487E-06
1183,3.45523162980564E-06
1182,4.10155934792416E-06
1181,3.81769782034096E-06
1180,4.13899412092026E-06
1179,4.7653611314052E-06
1178,4.44814164895749E-06
1177,4.17594240303678E-06
1176,3.94025492009041E-06
1175,4.21247024427255E-06
1174,3.9905750368138E-06
1173,3.79500878623089E-06
1172,3.62155515258433E-06
1171,3.46682510889864E-06
1170,3.32806801697267E-06
1169,3.61098762429577E-06
1168,3.47076502274239E-06
1167,3.34376875492358E-06
1166,3.59725124382294E-06
1165,3.46935995311635E-06
1164,3.64717947488068E-06
1163,3.69133198025452E-06
1162,3.92081298857508E-06
1161,3.7869687818698E-06
1160,3.66389607303042E-06
1159,3.5504044835978E-06
1158,3.44546717132282E-06
1157,3.34819434913903E-06
1156,3.25781169323973E-06
1155,3.17364263414355E-06
1154,3.09509375163983E-06
1153,3.0216426660524E-06
1152,2.95282794887567E-06
1151,3.16530788780541E-06
1150,3.40135391796045E-06
1149,3.32074434930828E-06
1148,3.24498080431975E-06
1147,3.1736574964591E-06
1146,3.10641134498639E-06
1145,3.04291662912255E-06
1144,2.98288041124148E-06
1143,2.92603860491134E-06
1142,3.07144106481875E-06
1141,3.14730501186766E-06
1140,3.27445443008951E-06
1139,3.21121192367443E-06
1138,3.35615173353281E-06
1137,3.4219428334795E-06
1136,3.35659793515675E-06
1135,3.39999934466057E-06
1134,3.50537216966217E-06
1133,3.44014128659934E-06
1132,3.37796296713756E-06
1131,3.52766853507635E-06
1130,3.46446223018644E-06
1129,3.40409757342258E-06
1128,3.34639586603971E-06
1127,3.49769562273363E-06
1126,3.62790199711923E-06
1125,3.56582543890765E-06
1124,3.50638256919013E-06
1123,3.54714442740126E-06
1122,3.48972976313574E-06
1121,3.56908404608519E-06
1120,3.51246196084788E-06
1119,3.45808670388192E-06
1118,3.40583337980942E-06
1117,3.52781853851108E-06
1116,3.47494024744028E-06
1115,3.42405692915094E-06
1114,3.37506300882643E-06
1113,3.32785998329341E-06
1112,3.41422091138767E-06
1111,3.36709247715309E-06
1110,3.32162914786174E-06
1109,3.27774819540367E-06
1108,3.38798042550288E-06
1107,3.51588128166641E-06
1106,3.46881557512125E-06
1105,3.57040908712958E-06
1104,3.52303341923836E-06
1103,3.47723417069635E-06
1102,3.56511567971418E-06
1101,3.51927245222352E-06
1100,3.47490915650329E-06
1099,3.43195866907896E-06
1098,3.51250641608521E-06
1097,3.46956200992568E-06
1096,3.42794577061101E-06
1095,3.38759991429883E-06
1094,3.34846984745593E-06
1093,3.42541769630428E-06
1092,3.38622775561626E-06
1091,3.34818660460239E-06
1090,3.31124678435242E-06
1089,3.3800878744277E-06
1088,3.34307673413701E-06
1087,3.30720298203237E-06
1086,3.27232811323526E-06
1085,3.23841286053344E-06
1084,3.20541992082234E-06
1083,3.17331383690245E-06
1082,3.14206088754095E-06
1081,3.19841121795156E-06
1080,3.26863937667204E-06
1079,3.23645011963563E-06
1078,3.20509358879403E-06
1077,3.17453931298966E-06
1076,3.17181750779005E-06
1075,3.2175178745342E-06
1074,3.18746922242298E-06
1073,3.15816417765371E-06
1072,3.19424284184857E-06
1071,3.16527358770306E-06
1070,3.13700336627082E-06
1069,3.1094082749526E-06
1068,3.08246545401707E-06
1067,3.14933141735647E-06
1066,3.15937694361454E-06
1065,3.22445977302156E-06
1064,3.29847721966791E-06
1063,3.26952852287309E-06
1062,3.24124497229111E-06
1061,3.31822705499612E-06
1060,3.28958269614698E-06
1059,3.26158385969632E-06
1058,3.23420995677009E-06
1057,3.20744123589812E-06
1056,3.18125874195063E-06
1055,3.15564427741846E-06
1054,3.13058036588528E-06
1053,3.1847135202199E-06
1052,3.24175068091137E-06
1051,3.26320396496449E-06
1050,3.2670820861614E-06
1049,3.31613486122273E-06
1048,3.36935525330555E-06
1047,3.40105988714284E-06
1046,3.47296891998018E-06
1045,3.44485354375133E-06
1044,3.417319609824E-06
1043,3.39035012553766E-06
1042,3.42421475020384E-06
1041,3.39748452682311E-06
1040,3.37129115291267E-06
1039,3.34561937743977E-06
1038,3.32045450183029E-06
1037,3.29578235583585E-06
1036,3.2715892746285E-06
1035,3.24786207705188E-06
1034,3.22458804496258E-06
1033,3.20175490359954E-06
1032,3.2424729884511E-06
1031,3.30147226299938E-06
1030,3.36799636446597E-06
1029,3.39814618712233E-06
1028,3.37375461257466E-06
1027,3.34981547906509E-06
1026,3.32631690408787E-06
1025,3.30324740339182E-06
1024,3.28059587487252E-06
1023,3.25835158322384E-06
1022,3.29450976301814E-06
1021,3.36109638427079E-06
1020,3.43703981864421E-06
1019,3.4912918438284E-06
1018,3.46708406209503E-06
1017,3.4433045367572E-06
1016,3.51377712173936E-06
1015,3.57525220195587E-06
1014,3.55053949203296E-06
1013,3.61251925183628E-06
1012,3.64847714134434E-06
1011,3.62326847870052E-06
1010,3.5984952349226E-06
1009,3.57414679355315E-06
1008,3.55021286789798E-06
1007,3.5266834886786E-06
1006,3.58795917050118E-06
1005,3.6471345938823E-06
1004,3.62283439478431E-06
1003,3.59893911877473E-06
1002,3.57543923874581E-06
1001,3.55232551321891E-06
1000,3.5295889760193E-06
999,3.50722092638574E-06
998,3.48521291949387E-06
997,3.46355675737385E-06
996,3.45357205846414E-06
995,3.43247216642091E-06
994,3.41170318988979E-06
993,3.39125777831376E-06
992,3.41599081109108E-06
991,3.45314912083944E-06
990,3.51188697893092E-06
989,3.5598086248056E-06
988,3.58529411893713E-06
987,3.56358254012259E-06
986,3.54220258250585E-06
985,3.52114708428969E-06
984,3.50040908096883E-06
983,3.52713336157555E-06
982,3.58751564473077E-06
981,3.56637132365104E-06
980,3.5455412911924E-06
979,3.52501894120124E-06
978,3.56002935022627E-06
977,3.53954215711064E-06
976,3.59015320756798E-06
975,3.66117166806663E-06
974,3.73505631453061E-06
973,3.7131562032386E-06
